exclaiming_end, questioning_end, uppercase_word_count, people_tagged, #_of_exclamations, #_of_questions, punctuation_pairs, label
0, 0, 0.021739130434782608, 0, 0, 1, 0, 0
0, 0, 0.02702702702702703, 0, 0, 0, 0, 0
0, 0, 0.024390243902439025, 0, 0, 0, 0, 0
0, 0, 0.01818181818181818, 1, 0, 0, 0, 0
0, 0, 0.05714285714285714, 0, 0, 0, 0, 0
0, 0, 0.16216216216216217, 0, 0, 0, 0, 0
0, 0, 0.06976744186046512, 0, 0, 0, 0, 0
0, 0, 0.029411764705882353, 0, 0, 0, 0, 0
0, 0, 0.022727272727272728, 0, 0, 0, 0, 0
0, 0, 0.011904761904761904, 1, 0, 1, 0, 0
0, 0, 0.03333333333333333, 0, 0, 1, 0, 0
0, 0, 0.024691358024691357, 0, 0, 1, 0, 0
0, 0, 0.014705882352941176, 0, 0, 0, 0, 0
0, 0, 0.007042253521126761, 0, 0, 0, 0, 0
0, 0, 0.023255813953488372, 0, 0, 0, 0, 0
0, 0, 0.014705882352941176, 0, 0, 0, 0, 0
0, 0, 0.043478260869565216, 0, 1, 0, 0, 0
0, 0, 0.058823529411764705, 0, 0, 0, 0, 0
0, 0, 0.016597510373443983, 0, 0, 0, 0, 0
0, 0, 0.017543859649122806, 0, 0, 0, 0, 0
0, 0, 0.0136986301369863, 0, 1, 0, 0, 0
0, 0, 0.02040816326530612, 0, 0, 0, 0, 0
0, 0, 0.01282051282051282, 0, 0, 1, 0, 0
0, 0, 0.017241379310344827, 0, 0, 1, 0, 0
0, 0, 0.024390243902439025, 0, 1, 0, 0, 0
0, 0, 0.017543859649122806, 0, 0, 0, 0, 0
0, 0, 0.06451612903225806, 0, 0, 0, 0, 0
0, 0, 0.009259259259259259, 0, 0, 0, 0, 0
0, 0, 0.05555555555555555, 0, 0, 0, 0, 0
0, 0, 0.05714285714285714, 0, 0, 0, 0, 0
0, 0, 0.021739130434782608, 0, 0, 0, 0, 0
0, 0, 0.013333333333333334, 0, 0, 1, 0, 0
0, 0, 0.014285714285714285, 1, 0, 2, 1, 0
0, 0, 0.02040816326530612, 0, 0, 0, 0, 0
0, 0, 0.027777777777777776, 0, 0, 0, 0, 0
0, 0, 0.02631578947368421, 0, 0, 0, 0, 0
0, 0, 0.009708737864077669, 0, 0, 0, 0, 0
0, 0, 0.0196078431372549, 0, 0, 0, 0, 0
0, 0, 0.01282051282051282, 0, 0, 0, 0, 0
0, 0, 0.014492753623188406, 0, 0, 0, 0, 0
0, 0, 0.015873015873015872, 0, 0, 1, 0, 0
0, 0, 0.021739130434782608, 0, 0, 0, 0, 0
0, 0, 0.02, 0, 0, 0, 0, 0
0, 0, 0.03125, 0, 0, 0, 0, 0
